word,period,cosine_distance
virus,2010s,-1.1920928955078125e-07
virus,2020s,0.3461286425590515
platform,2010s,1.1920928955078125e-07
platform,2020s,0.5297878980636597
network,2010s,0.0
network,2020s,0.5347762107849121
model,2010s,0.0
model,2020s,0.5414327383041382
web,2010s,0.0
web,2020s,
stream,2010s,0.0
stream,2020s,
water,2010s,0.0
water,2020s,0.5435088872909546
city,2010s,-1.1920928955078125e-07
city,2020s,0.39175981283187866
winter,2010s,5.960464477539063e-08
winter,2020s,0.43688440322875977
animal,2010s,1.1920928955078125e-07
animal,2020s,0.6962255239486694
family,2010s,0.0
family,2020s,0.5062370300292969
school,2010s,0.0
school,2020s,0.389224648475647
